Recipient,Total,From Individuals,From Organization,Recipient Type,View
Standing Strong PAC,5000000,0,5000000,Outside Group,Liberal
"Bell, Wesley",2555095,2550095,5000,Candidate (D-MO01),Democrat
"Latimer, George",2448899,2438899,10000,Candidate (D-NY16),Democrat
Voters for Responsive Government,1300000,0,1300000,Outside Group,Bipartisan
"Rosen, Jacky",1269951,1264951,5000,Candidate (D-NVS1),Democrat
"Menendez, Robert",1074760,1068760,6000,Candidate (I-NJS1),Independent
Blue Wave Action,950000,0,950000,Outside Group,Liberal
"Jeffries, Hakeem",866425,856425,10000,Candidate (D-NY08),Democrat
"Gottheimer, Josh",797189,787189,10000,Candidate (D-NJ05),Democrat
"Bacon, Donald John",697837,687837,10000,Candidate (R-NE02),Republican
"Aguilar, Pete",620898,610898,10000,Candidate (D-CA33),Democrat
"Calvert, Ken",620597,610597,10000,Candidate (R-CA41),Republican
"Johnson, Mike",618530,608530,10000,Candidate (R-LA04),Republican
"Ciscomani, Juan",618522,608522,10000,Candidate (R-AZ06),Republican
"Golden, Jared",565996,555996,10000,Candidate (D-ME02),Democrat
"Cruz, Ted",562593,552593,10000,Candidate (R-TXS2),Republican
"Tester, Jon",559123,554123,5000,Candidate (D-MTS1),Democrat
"Cole, Tom",552806,542806,10000,Candidate (R-OK04),Republican
"Davis, Don",537110,532110,5000,Candidate (D-NC01),Democrat
"Torres, Ritchie",535398,525398,10000,Candidate (D-NY15),Democrat
"Schultz, Debbie Wasserman",519842,509842,10000,Candidate (D-FL25),Democrat
"Gillibrand, Kirsten",480614,470614,10000,Candidate (D-NYS1),Democrat
"Diaz-Balart, Mario",480227,470227,10000,Candidate (R-FL26),Republican
"Scalise, Steve",473758,463758,10000,Candidate (R-LA01),Republican
"Meng, Grace",466548,462048,4500,Candidate (D-NY06),Democrat
"Casey, Bob",457453,447453,10000,Candidate (D-PAS2),Democrat
"Emmer, Tom",454467,444467,10000,Candidate (R-MN06),Republican
"Meeks, Gregory",448328,438328,10000,Candidate (D-NY05),Democrat
"Auchincloss, Jake",444480,434480,10000,Candidate (D-MA04),Democrat
"Fischer, Deb",430658,420658,10000,Candidate (R-NES1),Republican
"McCaul, Michael",418859,403859,15000,Candidate (R-TX10),Republican
"Lawler, Mike",392669,382669,10000,Candidate (R-NY17),Republican
"Weiss, Joanna",387499,387499,0,Candidate (D-CA47),Democrat
"Landsman, Greg",385808,375808,10000,Candidate (D-OH01),Democrat
"Clark, Katherine",371347,366347,5000,Candidate (D-MA05),Democrat
"Frankel, Lois",371164,361164,10000,Candidate (D-FL22),Democrat
"Stefanik, Elise",359494,354494,5000,Candidate (R-NY21),Republican
"Wicker, Roger",339103,334103,5000,Candidate (R-MSS2),Republican
"Smith, Adam",327764,317764,10000,Candidate (D-WA09),Democrat
"Craig, Angie",327675,322675,5000,Candidate (D-MN02),Democrat
"Moskowitz, Jared",322798,312798,10000,Candidate (D-FL23),Democrat
"Pappas, Chris",315442,305442,10000,Candidate (D-NH01),Democrat
"Schiff, Adam",311663,306663,5000,Candidate (D-CA30),Democrat
"Blackburn, Marsha",303547,293547,10000,Candidate (R-TNS1),Republican
"Gonzales, Tony",299102,284102,15000,Candidate (R-TX23),Republican
"Fitzpatrick, Brian",283462,273462,10000,Candidate (R-PA01),Republican
"Scott, Rick",269235,254235,15000,Candidate (R-FLS1),Republican
"Schneider, Brad",267310,257310,10000,Candidate (D-IL10),Democrat
"Kean, Thomas H Jr",264013,254013,10000,Candidate (R-NJ07),Republican
"Panetta, Jimmy",256767,246767,10000,Candidate (D-CA19),Democrat
"Messmer, Mark",256439,256439,0,Candidate (R-IN08),Republican
"Cramer, Kevin",251927,246927,5000,Candidate (R-NDS2),Republican
"Hoyer, Steny H",241150,231150,10000,Candidate (D-MD05),Democrat
"Menendez, Rob",235430,230430,5000,Candidate (D-NJ08),Democrat
"Manning, Kathy",225358,220358,5000,Candidate (D-NC06),Democrat
"Kim, Young",221197,211197,10000,Candidate (R-CA40),Republican
"Ryan, Pat",220662,210662,10000,Candidate (D-NY18),Democrat
"Cantwell, Maria",219250,219250,0,Candidate (D-WAS1),Democrat
"Ricketts, Pete",218644,208644,10000,Candidate (R-NES2),Republican
National Republican Senatorial Cmte,218600,188600,30000,Political Party,Republican
"Banks, Jim",205242,205242,0,Candidate (R-IN03),Republican
"Boyle, Brendan",200678,190678,10000,Candidate (D-PA02),Democrat
Women Vote!,200000,0,200000,Outside Group,Liberal
"Mast, Brian",197661,187661,10000,Candidate (R-FL21),Republican
"Goldman, Dan",194350,184350,10000,Candidate (D-NY10),Democrat
"Perez, Marie Gluesenkamp",190401,180401,10000,Candidate (D-WA03),Democrat
"Reschenthaler, Guy",188120,178120,10000,Candidate (R-PA14),Republican
"Gomez, Jimmy",167122,157122,10000,Candidate (D-CA34),Democrat
United Democracy Project,165000,165000,0,Outside Group,Bipartisan
"Espaillat, Adriano",160810,150810,10000,Candidate (D-NY13),Democrat
"Soto, Darren",159290,149290,10000,Candidate (D-FL09),Democrat
"Vargas, Juan",155802,150802,5000,Candidate (D-CA52),Democrat
"Turner, Michael R",154663,149663,5000,Candidate (R-OH10),Republican
"Thanedar, Shri",151647,141647,10000,Candidate (D-MI13),Democrat
"Whitehouse, Sheldon",147208,132208,15000,Candidate (D-RIS1),Democrat
"Strickland, Marilyn",145379,135379,10000,Candidate (D-WA10),Democrat
"Cartwright, Matt",144488,134488,10000,Candidate (D-PA08),Democrat
"Gallagher, Mike",144183,135308,8875,Candidate (R-WI08),Republican
"Steel, Michelle",143187,133187,10000,Candidate (R-CA45),Republican
"Barr, Andy",140097,130097,10000,Candidate (R-KY06),Republican
"Neguse, Joseph",139910,129910,10000,Candidate (D-CO02),Democrat
"Costa, Jim",136472,121472,15000,Candidate (D-CA21),Democrat
"Garcia, Mike",136412,126412,10000,Candidate (R-CA27),Republican
"Scholten, Hillary",135936,125936,10000,Candidate (D-MI03),Democrat
"Green, Mark",133602,123602,10000,Candidate (R-TN07),Republican
National Republican Congressional Cmte,129000,99000,30000,Political Party,Republican
"Klobuchar, Amy",127150,122150,5000,Candidate (D-MNS2),Democrat
"Wilson, Joe",126350,121350,5000,Candidate (R-SC02),Republican
"Fletcher, Lizzie",124531,114531,10000,Candidate (D-TX07),Democrat
"DelBene, Suzan",123400,118400,5000,Candidate (D-WA01),Democrat
"Cherfilus-McCormick, Sheila",123388,113388,10000,Candidate (D-FL20),Democrat
DNC Services Corp,123239,123239,0,Political Party,Democrat
"Hudson, Richard",122789,112789,10000,Candidate (R-NC09),Republican
"Chavez-Deremer, Lori",122354,117354,5000,Candidate (R-OR05),Republican
"Sinema, Kyrsten",121450,121450,0,Candidate (I-AZS2),Independent
"Hawley, Josh",119205,109205,10000,Candidate (R-MOS2),Republican
"Horsford, Steven",117875,107875,10000,Candidate (D-NV04),Democrat
"Brown, Shontel",113620,103620,10000,Candidate (D-OH11),Democrat
"Caraveo, Yadira",107650,97650,10000,Candidate (D-CO08),Democrat
"Newhouse, Dan",106458,101458,5000,Candidate (R-WA04),Republican
"Waltz, Michael",102872,92872,10000,Candidate (R-FL06),Republican
"Morelle, Joseph D",99870,89870,10000,Candidate (D-NY25),Democrat
"Trone, David",99600,99600,0,Candidate (D-MD06),Democrat
"Womack, Steve",98047,83047,15000,Candidate (R-AR03),Republican
"Gonzalez, Vicente",97750,91750,6000,Candidate (D-TX34),Democrat
"Levin, Mike",97522,87522,10000,Candidate (D-CA49),Democrat
"Molinaro, Marc",97058,87058,10000,Candidate (R-NY19),Republican
"Jack, Brian",94752,79752,15000,Candidate (R-GA03),Republican
"Garbarino, Andrew",93890,83890,10000,Candidate (R-NY02),Republican
"Williams, Nikema Natassha",91140,81140,10000,Candidate (D-GA05),Democrat
"Norcross, Don",90805,80805,10000,Candidate (D-NJ01),Democrat
"Sykes, Emilia",90653,75653,15000,Candidate (D-OH13),Democrat
"Curtis, John",88400,78400,10000,Candidate (R-UT03),Republican
"Sorensen, Eric",87014,82014,5000,Candidate (D-IL17),Democrat
"Malliotakis, Nicole",85400,75400,10000,Candidate (R-NY11),Republican
